,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
82,Christmas Tree Farm,Christmas Tree Farm,Taylor Swift,2019-12-06,228026,60,0.598,0.06,0.598,0.68,0,0.324,-4.505,0.0331,134.002,4
25,22,Red,Taylor Swift,2012-10-22,230133,59,0.658,0.00215,0.658,0.729,0.0013,0.0752,-6.561,0.0378,104.007,4
56,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,Taylor Swift,2006-10-24,203040,59,0.621,0.288,0.621,0.417,0,0.119,-6.941,0.0231,99.953,4
61,Fearless,Fearless,Taylor Swift,2008-11-11,241986,59,0.594,0.04,0.594,0.712,0,0.309,-4.418,0.0273,99.972,4
68,All You Had To Do Was Stay,1989,Taylor Swift,2014-10-27,193293,59,0.602,0.00196,0.602,0.735,4.77E-05,0.105,-5.778,0.0337,96.969,4
73,White Horse,Fearless,Taylor Swift,2008-11-11,234426,59,0.578,0.305,0.578,0.34,0,0.104,-8.027,0.0264,92.702,4
44,Dear John,Speak Now (Deluxe Edition),Taylor Swift,2010-10-25,403920,58,0.589,0.166,0.589,0.47,1.45E-06,0.112,-5.32,0.028,119.386,3
54,The Man - Live From Paris,The Man (Live From Paris),Taylor Swift,2020-02-18,219385,58,0.343,0.672,0.343,0.864,0,0.962,-5.871,0.0875,90.905,3
58,Begin Again,Red,Taylor Swift,2012-10-22,237613,58,0.53,0.199,0.53,0.526,3.52E-06,0.232,-8.349,0.0263,79.025,4
72,The Story Of Us,Speak Now,Taylor Swift,2010-10-25,265666,58,0.543,0.00478,0.543,0.818,0.000368,0.0357,-3.611,0.0398,139.898,4
21,Look What You Made Me Do,reputation,Taylor Swift,2017-11-10,211853,1,0.766,0.204,0.766,0.709,1.41E-05,0.126,-6.471,0.123,128.07,4
51,End Game,reputation,Taylor Swift,2017-11-10,244826,1,0.649,0.00845,0.649,0.589,0,0.108,-6.237,0.0558,159.073,4
7,Delicate,reputation,Taylor Swift,2017-11-10,232253,0,0.75,0.216,0.75,0.404,0.000357,0.0911,-10.178,0.0682,95.045,4
35,Gorgeous,reputation,Taylor Swift,2017-11-10,209680,0,0.8,0.0713,0.8,0.535,9.48E-06,0.213,-6.684,0.135,92.027,4
49,Getaway Car,reputation,Taylor Swift,2017-11-10,233626,0,0.562,0.00465,0.562,0.689,2.23E-06,0.0888,-6.745,0.127,172.054,4
57,I Did Something Bad,reputation,Taylor Swift,2017-11-10,238253,0,0.696,0.0679,0.696,0.602,2.11E-05,0.0696,-6.156,0.159,82.989,4
64,Call It What You Want,reputation,Taylor Swift,2017-11-10,203506,0,0.598,0.186,0.598,0.504,0.000221,0.34,-9.874,0.0731,163.954,4
74,Dancing With Our Hands Tied,reputation,Taylor Swift,2017-11-10,211506,0,0.624,0.0604,0.624,0.691,1.10E-05,0.138,-6.686,0.196,160.024,4
